Yield_Change_bps,Yield_Change,Analytical_Price_Change,Analytical_Price,RF_Price,XGB_Price,NN_Price,RF_Price_Change,XGB_Price_Change,NN_Price_Change,Analytical_Price_Change_pct,RF_Price_Change_pct,XGB_Price_Change_pct,NN_Price_Change_pct,RF_Divergence,XGB_Divergence,NN_Divergence,Ensemble_Price,Ensemble_Price_Change,Ensemble_Divergence
-200.0,-0.02,3.7479943140080003,102.753194314008,98.84178649999986,99.36273,108.30691596425396,-0.16341350000014643,0.3575287,9.301715964253958,3.785654,-0.16505547183395056,0.3611211,9.395179207005246,3.9114078140081467,3.390465627484563,5.553721650245958,102.17047813261586,3.1652781326158532,0.5827161813921471
-191.83673469387756,-0.019183673469387756,3.591601903170543,102.59680190317054,98.84178649999986,99.36273,107.89271632860896,-0.16341350000014643,0.3575287,8.887516328608953,3.627690164931279,-0.16505547183395056,0.3611211,8.97681771119997,3.7550154031706895,3.2340732166471056,5.29591442543841,102.03241158740084,3.027211587400842,0.564390315769701
-183.6734693877551,-0.01836734693877551,3.435499964765597,102.4406999647656,98.84178649999986,99.36273,107.55432997364541,-0.16341350000014643,0.3575287,8.549129973645407,3.4700197209496033,-0.16505547183395056,0.3611211,8.635031264666306,3.5989134647657433,3.0779712782421593,5.1136300088798095,101.91961613574634,2.914416135746336,0.5210838290192608
-175.51020408163265,-0.017551020408163264,3.279688498793166,102.28488849879317,98.83735299999985,99.36273,107.22184327570882,-0.16784700000015107,0.3575287,8.216643275708819,3.312642668054977,-0.16953351945165612,0.3611211,8.299203754660178,3.447535498793317,2.9221598122697285,4.936954776915653,101.8073094031008,2.8021094031008005,0.47757909569236556
-167.3469387755102,-0.01673469387755102,3.1241675052532476,102.12936750525326,98.83735299999985,99.36273,106.82597500347502,-0.16784700000015107,0.3575287,7.8207750034750205,3.1555590062473966,-0.16953351945165612,0.3611211,7.899357815018828,3.2920145052533987,2.76663881872981,4.696607498221773,101.67535331235621,2.670153312356206,0.4540141928970418
-159.18367346938777,-0.015918367346938776,2.9689369841458424,101.97413698414584,98.83735299999985,99.36273,106.43010673124122,-0.16784700000015107,0.3575287,7.424906731241222,2.9987687355268635,-0.16953351945165612,0.3611211,7.499511875377478,3.1367839841459935,2.611408297622405,4.45596974709538,101.5433972216116,2.538197221611597,0.4307397625342455
-151.0204081632653,-0.01510204081632653,2.81399693547095,101.81919693547096,98.83735299999985,99.36273,106.05243724891916,-0.16784700000015107,0.3575287,7.04723724891916,2.8422718558933773,-0.16953351945165612,0.3611211,7.118047586307749,2.981843935471101,2.4564682489475125,4.23324031344821,101.41750739417091,2.4123073941709094,0.40168954130004053
-142.85714285714286,-0.014285714285714285,2.6593473592285717,101.66454735922858,98.83252299999985,99.36273,105.68783348021528,-0.1726770000001494,0.3575287,6.682633480215273,2.686068367346939,-0.17441205108433638,0.3611211,6.749780294585812,2.832024359228721,2.301818672705134,4.023286120986701,101.29436280460295,2.2891628046029524,0.3701845546256193
-134.69387755102042,-0.013469387755102043,2.5049882554187057,101.51018825541871,98.83522549999985,99.36273,105.26497363707253,-0.16997450000015135,0.3575287,6.259773637072527,2.530158269887547,-0.17168239648033776,0.3611211,6.322671573889581,2.674962755418857,2.1474595688952682,3.7547853816538215,101.1543103568887,2.1491103568886984,0.3558778985300073
-126.53061224489795,-0.012653061224489795,2.350919624041353,101.35611962404136,98.83115049999986,99.36273,104.84211379392978,-0.1740495000001374,0.3575287,5.8369137939297815,2.3745415635152023,-0.17579834190541246,0.3611211,5.895562853193349,2.5249691240414904,1.9933909375179155,3.4859941698884285,101.01199874250779,2.006798742507783,0.3441208815335699
