Yield_Change_bps,Yield_Change
-200.0,-0.02
-191.83673469387756,-0.019183673469387756
-183.6734693877551,-0.01836734693877551
-175.51020408163265,-0.017551020408163264
-167.3469387755102,-0.01673469387755102
-159.18367346938777,-0.015918367346938776
-151.0204081632653,-0.01510204081632653
-142.85714285714286,-0.014285714285714285
-134.69387755102042,-0.013469387755102043
-126.53061224489795,-0.012653061224489795
-118.36734693877551,-0.01183673469387755
-110.20408163265306,-0.011020408163265306
-102.0408163265306,-0.01020408163265306
-93.87755102040816,-0.009387755102040816
-85.71428571428571,-0.00857142857142857
-77.55102040816327,-0.007755102040816327
-69.38775510204081,-0.0069387755102040816
-61.22448979591837,-0.006122448979591837
-53.061224489795904,-0.00530612244897959
-44.897959183673464,-0.004489795918367346
-36.734693877551024,-0.0036734693877551023
-28.571428571428555,-0.0028571428571428554
-20.408163265306115,-0.0020408163265306116
-12.244897959183675,-0.0012244897959183675
-4.081632653061206,-0.00040816326530612057
4.081632653061234,0.00040816326530612344
12.244897959183675,0.0012244897959183675
20.408163265306115,0.0020408163265306116
28.571428571428584,0.0028571428571428584
36.734693877551024,0.0036734693877551023
44.897959183673464,0.004489795918367346
53.06122448979593,0.005306122448979593
61.22448979591837,0.006122448979591837
69.38775510204084,0.006938775510204084
77.55102040816325,0.007755102040816325
85.71428571428572,0.008571428571428572
93.87755102040819,0.00938775510204082
102.0408163265306,0.01020408163265306
110.20408163265307,0.011020408163265306
118.36734693877554,0.011836734693877554
126.53061224489795,0.012653061224489795
134.69387755102042,0.013469387755102043
142.8571428571429,0.014285714285714289
151.0204081632653,0.01510204081632653
159.18367346938777,0.015918367346938776
167.34693877551024,0.016734693877551023
175.51020408163265,0.017551020408163264
183.67346938775512,0.018367346938775512
191.8367346938776,0.01918367346938776
200.0,0.02
